ticker,date,avg_sentiment,article_count
COST,2026-04-22,0.1005,100
NFLX,2026-04-22,-0.0529,100
BAC,2026-04-22,0.0844,100
CAT,2026-04-22,0.074,100
ABBV,2026-04-22,0.0361,100
CVX,2026-04-22,0.0228,100
PLTR,2026-04-22,0.0225,100
HD,2026-04-22,0.0626,100
INTC,2026-04-22,0.096,102
PG,2026-04-22,0.0576,100
CSCO,2026-04-22,0.1077,100
LRCX,2026-04-22,0.1364,100
KO,2026-04-22,0.1235,91
GE,2026-04-22,0.0553,100
AMAT,2026-04-22,0.1023,100
MS,2026-04-22,0.1137,71
UNH,2026-04-22,0.1032,92
MRK,2026-04-22,0.0496,100
GS,2026-04-22,0.1297,100
GEV,2026-04-22,0.0883,100
RTX,2026-04-22,0.0848,100
AAPL,2026-04-23,0.0668,100
XOM,2026-04-23,0.0693,100
TSLA,2026-04-23,-0.0352,100
MSFT,2026-04-23,0.1274,100
NVDA,2026-04-23,-0.0055,100
AMZN,2026-04-23,0.2314,100
GOOGL,2026-04-23,0.095,100
AVGO,2026-04-23,0.0962,100
BRK.B,2026-04-23,0.1206,100
WMT,2026-04-23,0.0837,100
JPM,2026-04-23,0.0675,100
LLY,2026-04-23,0.0755,100
V,2026-04-23,0.0478,48
JNJ,2026-04-23,0.1473,100
MU,2026-04-23,-0.0254,100
ORCL,2026-04-23,0.0337,100
MA,2026-04-23,0.1,85
AMD,2026-04-23,0.0855,92
COST,2026-04-23,0.1017,100
NFLX,2026-04-23,-0.0618,100
BAC,2026-04-23,0.0804,100
CAT,2026-04-23,0.0582,100
ABBV,2026-04-23,0.065,100
CVX,2026-04-23,-0.0068,100
PLTR,2026-04-23,0.0681,100
HD,2026-04-23,0.0554,100
INTC,2026-04-23,0.0774,102
PG,2026-04-23,0.0451,100
CSCO,2026-04-23,0.0939,100
LRCX,2026-04-23,0.131,100
KO,2026-04-23,0.1295,95
GE,2026-04-23,0.0348,100
AMAT,2026-04-23,0.0809,100
MS,2026-04-23,0.0897,74
UNH,2026-04-23,0.1385,102
MRK,2026-04-23,0.0909,100
GS,2026-04-23,0.1143,100
GEV,2026-04-23,0.1039,100
RTX,2026-04-23,0.0695,100
AAPL,2026-04-23,0.0534,100
XOM,2026-04-23,0.1144,100
TSLA,2026-04-23,-0.0728,100
MSFT,2026-04-23,0.0826,100
NVDA,2026-04-23,0.0564,102
AMZN,2026-04-23,0.2301,102
GOOGL,2026-04-23,0.1128,100
AVGO,2026-04-23,0.0791,100
BRK.B,2026-04-23,0.1382,100
WMT,2026-04-23,0.1302,100
JPM,2026-04-23,0.104,100
LLY,2026-04-23,0.1084,100
V,2026-04-23,0.0459,50
JNJ,2026-04-23,0.1409,100
MU,2026-04-23,-0.0557,100
ORCL,2026-04-23,0.0336,100
MA,2026-04-23,0.1158,91
AMD,2026-04-23,0.0543,92
COST,2026-04-23,0.1183,100
NFLX,2026-04-23,0.0142,100
BAC,2026-04-23,0.1062,100
CAT,2026-04-23,0.0317,100
ABBV,2026-04-23,0.0464,100
CVX,2026-04-23,0.0415,100
PLTR,2026-04-23,0.0375,100
HD,2026-04-23,0.1102,100
INTC,2026-04-23,0.1281,92
PG,2026-04-23,0.0661,100
