ticker,date,avg_sentiment,article_count,close_price,volume,3d_avg,10d_avg,30d_avg,60d_avg,90d_avg
AAPL,2026-04-18,0.0761,100,,,0.0761,0.0761,0.0761,0.0761,0.0761
AAPL,2026-04-19,0.0586,100,,,0.06735,0.06735,0.06735,0.06735,0.06735
AAPL,2026-04-20,0.0577,100,273.04998779296875,36590200.0,0.06413333333333333,0.06413333333333333,0.06413333333333333,0.06413333333333333,0.06413333333333333
AAPL,2026-04-21,0.0819,102,266.1700134277344,50209800.0,0.06606666666666666,0.068575,0.068575,0.068575,0.068575
AAPL,2026-04-22,0.0883,102,273.1700134277344,43249200.0,0.07596666666666667,0.07252,0.07252,0.07252,0.07252
AAPL,2026-04-23,0.0668,100,273.42999267578125,33399600.0,0.079,0.07156666666666667,0.07156666666666667,0.07156666666666667,0.07156666666666667
AAPL,2026-04-23,0.0534,100,273.42999267578125,33399600.0,0.0695,0.06897142857142857,0.06897142857142857,0.06897142857142857,0.06897142857142857
AAPL,2026-04-23,0.069,100,273.42999267578125,33399600.0,0.06306666666666667,0.06897500000000001,0.06897500000000001,0.06897500000000001,0.06897500000000001
AAPL,2026-04-23,0.0522,100,273.42999267578125,33399600.0,0.0582,0.06711111111111111,0.06711111111111111,0.06711111111111111,0.06711111111111111
AAPL,2026-04-23,0.069,100,273.42999267578125,33399600.0,0.0634,0.0673,0.0673,0.0673,0.0673
AAPL,2026-04-23,0.0534,100,273.42999267578125,33399600.0,0.0582,0.06503,0.06603636363636364,0.06603636363636364,0.06603636363636364
AAPL,2026-04-24,0.0516,102,271.05999755859375,38157100.0,0.058,0.06433,0.06483333333333334,0.06483333333333334,0.06483333333333334
AAPL,2026-04-25,0.0284,100,271.05999755859375,,0.044466666666666675,0.061399999999999996,0.06203076923076923,0.06203076923076923,0.06203076923076923
AAPL,2026-04-26,0.0442,100,271.05999755859375,,0.0414,0.05763,0.06075714285714286,0.06075714285714286,0.06075714285714286
AAPL,2026-04-27,0.0182,100,267.6099853515625,41466800.0,0.030266666666666664,0.05062,0.05792,0.05792,0.05792
AAPL,2026-04-28,0.0203,100,270.7099914550781,40018900.0,0.027566666666666666,0.04597,0.05556875,0.05556875,0.05556875
AAPL,2026-04-29,-0.0133,100,270.1700134277344,24117049.0,0.0084,0.0393,0.05151764705882353,0.05151764705882353,0.05151764705882353
AAPL,2026-04-30,0.0374,100,270.1700134277344,,0.0148,0.03614,0.05073333333333333,0.05073333333333333,0.05073333333333333
